Office,Item,Serial No.,Date of Purchase,Make,Model,Remarks
,CPU,INA604XH88,NA,HP,HP 406 G1 MT Bussiness PC,
,Monitor,6CM5521PD0,NA,HP,,
,CPU,UXB1JSIO91I0436520,NA,Acer,ACER VERITON M200-H110,
,Monitor-1,750014503314,2111,Acer,ACER V196HQL,
,Monitor-2,750014503314,2110,Acer,ACER V196HQL,
,Fingerprint Scanner,C8R1BT16346,2110,Dacty,Dactyscan84C,
,Iris Scanner,BA1801A026002,2109,BMT,BMT-20,
,UPS,B13M18AOO533,2109,Uniline,UPS1000V,
,Inkjet Printer,CN77L5G1M5,2108,HP,Deskjet GT 5811,
,Laser printer,VNF5H29663,2108,HP,LASERJET P1007,
,LASER PRINTER,NTSA215713,2107,CANON,LBP6230dn,
,Passbook Printer,QAL6MT016293,2106,TVS,tvs speed 40 plus,
,FG SCANNER,B47A57461,NA,Dacty,FM220U,
,Dotmatrix Printer,Q7DY079450,2103,Epson,EPSON LX 310,
,Modem,T0051HA022700,2102,Dlink,DSL-2730U,
,UPS,15018985,2101,Uniline,420/20-36V,
,Battery,3 Nos,2100,Exide,EXIDE POWERSAFE PLUS,
,Barcode Scanner,PADMLB002501,NA,TVS,BS-C101 Star,
,Barcode Scanner,NBKMLB000588,NA,TVS,BS-C101 Star,
,Barcode Scanner,UAHMLB002261,NA,TVS,BS-C101 Star,
ETTUMANUR,CPU,UXB1JSIO91I0328639,2106,Acer,ACER VERITON M200-H110,
,Monitor,MMLY7SS02822005427859K,2105,Acer,ACER V196HQL,
,Monitor-2,MMLY0SS0047520B8B18507,2105,Acer,ACER V196HQL,
,Fingerprint Scanner,,2104,Dacty,Dactyscan84C,
,Iris Scanner,BA1801A025928,2103,BMT,BMT-20,
,UPS,UC90023852,2103,Uniline,FR-630N,
,Inkjet Printer,CN7CH5G1BT,2102,HP,Deskjet GT 5811,
,Laser printer,X5JC028799,2102,HP,M1120,
,MONITOR,MMLY0SS0047520BBEB8507,2101,Acer,ACER V196HQL,
,CPU,UXVTUSI333M2089131,NA,Acer,M200-P500,
,Laser printer,0AN2B8GHAA02BPN,2099,Samsung,M2830DW,
,MONITOR,ZZJLH4THA00640X,2097,Acer,LS19F350HNW+D5XXL,
,CPU,INA0450395,2096,HP,HP PRO,
,Passbook Printer,X23T052245,2095,Epson,PLQ-30,
,PASSBOOK PRINTER,ZX7ZT052533,NA,Epson,PLQ35,
,LASER PRINTER,CNCH649840,NA,HP,1020 PLUS,
,CPU,UXVQNSI244J0260682,NA,Acer,VERITON M200-B350,
,MONITOR,MMLY0SS0047520B8B18507,2101,Acer,V196HQL,
,DOT MATRIX PRINTER,Q7DY116787,2100,Epson,LX 310,
,CPU,UXB1JSII11I0435063,2099,Epson,IC6550,
,MONITOR,MMT3FSS001750007453B00,2099,Smartline,E1900HQ,
,CPU,UD305SI00U40804A160700,2098,Uniline,VERITON M200-P500,
,MONITOR,UR14701017408F88319F00,2098,Acer,EV226,
